股票名称,股票代码,时间点,排名
马钢股份,SH600808,2021-03-07 00:00:00,1408
马钢股份,SH600808,2021-03-07 00:10:00,1403
马钢股份,SH600808,2021-03-07 00:20:00,1401
马钢股份,SH600808,2021-03-07 00:30:00,1403
马钢股份,SH600808,2021-03-07 00:40:00,1407
马钢股份,SH600808,2021-03-07 00:50:00,1406
马钢股份,SH600808,2021-03-07 01:00:00,1402
马钢股份,SH600808,2021-03-07 01:10:00,1407
马钢股份,SH600808,2021-03-07 01:20:00,1413
马钢股份,SH600808,2021-03-07 01:30:00,1410
马钢股份,SH600808,2021-03-07 01:40:00,1408
马钢股份,SH600808,2021-03-07 01:50:00,1416
马钢股份,SH600808,2021-03-07 02:00:00,1417
马钢股份,SH600808,2021-03-07 02:10:00,1419
马钢股份,SH600808,2021-03-07 02:20:00,1417
马钢股份,SH600808,2021-03-07 02:30:00,1417
马钢股份,SH600808,2021-03-07 02:40:00,1417
马钢股份,SH600808,2021-03-07 02:50:00,1414
马钢股份,SH600808,2021-03-07 03:00:00,1400
马钢股份,SH600808,2021-03-07 03:10:00,1392
马钢股份,SH600808,2021-03-07 03:20:00,1383
马钢股份,SH600808,2021-03-07 03:30:00,1374
马钢股份,SH600808,2021-03-07 03:40:00,1364
马钢股份,SH600808,2021-03-07 03:50:00,1360
马钢股份,SH600808,2021-03-07 04:00:00,1357
马钢股份,SH600808,2021-03-07 04:10:00,1365
马钢股份,SH600808,2021-03-07 04:20:00,1364
马钢股份,SH600808,2021-03-07 04:30:00,1361
马钢股份,SH600808,2021-03-07 04:40:00,1361
马钢股份,SH600808,2021-03-07 04:50:00,1361
马钢股份,SH600808,2021-03-07 05:00:00,1360
马钢股份,SH600808,2021-03-07 05:10:00,1359
马钢股份,SH600808,2021-03-07 05:20:00,1361
马钢股份,SH600808,2021-03-07 05:30:00,1353
马钢股份,SH600808,2021-03-07 05:40:00,1350
马钢股份,SH600808,2021-03-07 05:50:00,1347
马钢股份,SH600808,2021-03-07 06:00:00,1337
马钢股份,SH600808,2021-03-07 06:10:00,1330
马钢股份,SH600808,2021-03-07 06:20:00,1327
马钢股份,SH600808,2021-03-07 06:30:00,1330
马钢股份,SH600808,2021-03-07 06:40:00,1330
马钢股份,SH600808,2021-03-07 06:50:00,1324
马钢股份,SH600808,2021-03-07 07:00:00,1317
马钢股份,SH600808,2021-03-07 07:10:00,1308
马钢股份,SH600808,2021-03-07 07:20:00,1304
马钢股份,SH600808,2021-03-07 07:30:00,1292
马钢股份,SH600808,2021-03-07 07:40:00,1273
马钢股份,SH600808,2021-03-07 07:50:00,1279
马钢股份,SH600808,2021-03-07 08:00:00,1289
马钢股份,SH600808,2021-03-07 08:10:00,1304
马钢股份,SH600808,2021-03-07 08:20:00,1324
马钢股份,SH600808,2021-03-07 08:30:00,1345
马钢股份,SH600808,2021-03-07 08:40:00,1361
马钢股份,SH600808,2021-03-07 08:50:00,1384
马钢股份,SH600808,2021-03-07 09:00:00,1404
马钢股份,SH600808,2021-03-07 09:10:00,1412
马钢股份,SH600808,2021-03-07 09:20:00,1421
马钢股份,SH600808,2021-03-07 09:30:00,1417
马钢股份,SH600808,2021-03-07 09:40:00,1412
马钢股份,SH600808,2021-03-07 09:50:00,1406
马钢股份,SH600808,2021-03-07 10:00:00,1416
马钢股份,SH600808,2021-03-07 10:10:00,1429
马钢股份,SH600808,2021-03-07 10:20:00,1438
马钢股份,SH600808,2021-03-07 10:30:00,1450
马钢股份,SH600808,2021-03-07 10:40:00,1466
马钢股份,SH600808,2021-03-07 10:50:00,1469
马钢股份,SH600808,2021-03-07 11:00:00,1468
马钢股份,SH600808,2021-03-07 11:10:00,1462
马钢股份,SH600808,2021-03-07 11:20:00,1445
马钢股份,SH600808,2021-03-07 11:30:00,1442
马钢股份,SH600808,2021-03-07 11:40:00,1439
马钢股份,SH600808,2021-03-07 11:50:00,1442
马钢股份,SH600808,2021-03-07 12:00:00,1448
马钢股份,SH600808,2021-03-07 12:10:00,1456
马钢股份,SH600808,2021-03-07 12:20:00,1463
马钢股份,SH600808,2021-03-07 12:30:00,1466
马钢股份,SH600808,2021-03-07 12:40:00,1465
马钢股份,SH600808,2021-03-07 12:50:00,1460
马钢股份,SH600808,2021-03-07 13:00:00,1457
马钢股份,SH600808,2021-03-07 13:10:00,1457
马钢股份,SH600808,2021-03-07 13:20:00,1453
马钢股份,SH600808,2021-03-07 13:30:00,1445
马钢股份,SH600808,2021-03-07 13:40:00,1428
马钢股份,SH600808,2021-03-07 13:50:00,1390
马钢股份,SH600808,2021-03-07 14:00:00,1325
马钢股份,SH600808,2021-03-07 14:10:00,1277
马钢股份,SH600808,2021-03-07 14:20:00,1202
马钢股份,SH600808,2021-03-07 14:30:00,1146
马钢股份,SH600808,2021-03-07 14:40:00,1100
马钢股份,SH600808,2021-03-07 14:50:00,1080
马钢股份,SH600808,2021-03-07 15:00:00,1064
马钢股份,SH600808,2021-03-07 15:10:00,1054
马钢股份,SH600808,2021-03-07 15:20:00,1051
马钢股份,SH600808,2021-03-07 15:30:00,1047
马钢股份,SH600808,2021-03-07 15:40:00,1042
马钢股份,SH600808,2021-03-07 15:50:00,1044
马钢股份,SH600808,2021-03-07 16:00:00,1046
马钢股份,SH600808,2021-03-07 16:10:00,1042
马钢股份,SH600808,2021-03-07 16:20:00,1031
马钢股份,SH600808,2021-03-07 16:30:00,1028
马钢股份,SH600808,2021-03-07 16:40:00,1021
马钢股份,SH600808,2021-03-07 16:50:00,1014
马钢股份,SH600808,2021-03-07 17:00:00,1013
马钢股份,SH600808,2021-03-07 17:10:00,1024
马钢股份,SH600808,2021-03-07 17:20:00,1041
马钢股份,SH600808,2021-03-07 17:30:00,1060
马钢股份,SH600808,2021-03-07 17:40:00,1072
