股票名称,股票代码,时间点,排名
ST众泰,SZ000980,2021-02-06,213
ST众泰,SZ000980,2021-02-07,240
ST众泰,SZ000980,2021-02-08,454
ST众泰,SZ000980,2021-02-09,361
ST众泰,SZ000980,2021-02-10,337
ST众泰,SZ000980,2021-02-11,200
ST众泰,SZ000980,2021-02-12,308
ST众泰,SZ000980,2021-02-13,263
ST众泰,SZ000980,2021-02-14,197
ST众泰,SZ000980,2021-02-15,225
ST众泰,SZ000980,2021-02-16,270
ST众泰,SZ000980,2021-02-17,374
ST众泰,SZ000980,2021-02-18,420
ST众泰,SZ000980,2021-02-19,448
ST众泰,SZ000980,2021-02-20,406
ST众泰,SZ000980,2021-02-21,342
ST众泰,SZ000980,2021-02-22,444
ST众泰,SZ000980,2021-02-23,293
ST众泰,SZ000980,2021-02-24,264
ST众泰,SZ000980,2021-02-25,247
ST众泰,SZ000980,2021-02-26,156
ST众泰,SZ000980,2021-02-27,13
ST众泰,SZ000980,2021-02-28,44
ST众泰,SZ000980,2021-03-01,191
ST众泰,SZ000980,2021-03-02,136
ST众泰,SZ000980,2021-03-03,42
ST众泰,SZ000980,2021-03-04,31
ST众泰,SZ000980,2021-03-05,45
ST众泰,SZ000980,2021-03-06,23
ST众泰,SZ000980,2021-03-07,50
