排名,股票名称,股票代码,现价,涨跌幅
1,包钢股份,600010,2.08,-2.35
2,方大炭素,600516,8.59,-4.66
3,深圳能源,000027,7.04,10.0
4,贵州茅台,600519,2060.11,1.33
5,东方财富,300059,30.69,1.89
6,省广集团,002400,4.95,10.0
7,中材节能,603126,9.76,10.03
8,北方稀土,600111,21.59,-7.14
9,仁东控股,002647,15.88,9.97
10,美好置业,000667,2.26,10.24
11,光大证券,601788,17.07,9.99
12,惠博普,002554,2.95,10.07
13,苏美达,600710,6.12,10.07
14,三七互娱,002555,29.83,3.65
15,比亚迪,002594,196.37,-1.07
16,TCL科技,000100,8.94,3.23
17,江淮汽车,600418,9.47,9.99
18,郑州煤电,600121,5.87,9.93
19,中天科技,600522,11.29,-1.48
20,紫金矿业,601899,11.0,-3.93
21,宝丰能源,600989,15.39,-1.66
22,通威股份,600438,37.24,-4.0
23,隆基股份,601012,99.44,1.37
24,太原重工,600169,2.61,10.13
25,一拖股份,601038,15.15,1.47
26,京东方Ａ,000725,6.23,-1.58
27,南极光,300940,51.3,20.0
28,浙江医药,600216,16.36,10.02
29,拱东医疗,605369,67.3,4.28
30,南网能源,003035,6.94,-8.8
31,三一重工,600031,41.11,0.29
32,济民制药,603222,19.1,10.02
33,准油股份,002207,6.8,10.03
34,丹化科技,600844,5.76,9.92
35,动力源,600405,5.82,10.02
36,爱施德,002416,10.2,10.03
37,阳光电源,300274,76.93,6.12
38,盛和资源,600392,21.37,-9.83
39,杉杉股份,600884,16.57,10.03
40,韩建河山,603616,6.78,10.06
41,五矿稀土,000831,21.39,-7.0
42,建科院,300675,18.02,19.97
43,国立科技,300716,8.88,20.0
44,四方达,300179,6.48,20.0
45,中水渔业,000798,9.68,10.0
46,金牛化工,600722,7.81,-4.41
47,格林美,002340,8.0,-2.44
48,宁德时代,300750,320.0,-1.71
49,华友钴业,603799,73.23,-10.0
50,*ST众泰,000980,3.32,0.61
51,吉鑫科技,601218,4.99,9.91
52,宜宾纸业,600793,14.5,10.02
53,森特股份,603098,10.52,10.04
54,华东医药,000963,36.87,-3.28
55,长春燃气,600333,5.49,10.02
56,启明星辰,002439,34.8,-0.91
57,深粮控股,000019,7.76,10.07
58,朗博科技,603655,24.74,10.0
59,中联重科,000157,13.52,-4.65
60,西水股份,600291,3.91,10.14
61,中国平安,601318,84.5,-2.09
62,亚翔集成,603929,12.56,9.98
63,歌尔股份,002241,33.48,2.54
64,南岭民爆,002096,8.2,10.07
65,中钢国际,000928,6.32,-7.06
66,宁波海运,600798,4.53,9.95
67,立讯精密,002475,47.63,3.07
68,太阳能,000591,6.9,-1.29
69,金枫酒业,600616,6.82,10.0
70,今飞凯达,002863,5.82,10.02
71,牧原股份,002714,112.91,-4.64
72,章源钨业,002378,9.1,-3.7
73,青青稞酒,002646,13.99,9.98
74,山西焦化,600740,6.84,-9.4
75,宝馨科技,002514,4.51,10.0
76,雪迪龙,002658,8.21,3.53
77,马钢股份,600808,2.85,-3.39
78,海螺水泥,600585,51.21,-3.89
79,新钢股份,600782,5.01,-10.05
80,三利谱,002876,61.38,-0.13
81,长安汽车,000625,16.95,0.95
82,交建股份,603815,10.29,10.05
83,德展健康,000813,4.21,9.92
84,鄂尔多斯,600295,23.4,0.91
85,恒而达,300946,74.88,20.0
86,精准信息,300099,8.02,13.76
87,格力电器,000651,58.13,-1.22
88,汤臣倍健,300146,23.4,2.54
89,ST金刚,300064,3.43,19.93
90,华资实业,600191,4.33,9.9
91,蓝科高新,601798,6.64,9.93
92,宏大爆破,002683,35.72,10.01
93,万华化学,600309,109.79,-3.96
94,江西铜业,600362,25.04,-1.8
95,开尔新材,300234,9.0,-9.46
96,视源股份,002841,131.11,1.56
97,五 粮 液,000858,266.5,0.07
98,爱尔眼科,300015,62.8,-1.55
99,金发科技,600143,26.04,2.52
100,招商银行,600036,51.4,-1.91
